Continuous MARL Server listening on 127.0.0.1:5555
Client connected: ('127.0.0.1', 52275)
X=749.0, Y=5219.0 | Дії Мисливця: Рух=-0.38, Поворот=0.12 | Радар=-0.80 | Нагорода=-0.0680
X=749.0, Y=5219.0 | Дії Мисливця: Рух=-0.20, Поворот=0.20 | Радар=-0.80 | Нагорода=-0.0980
X=749.0, Y=5219.0 | Дії Мисливця: Рух=-0.41, Поворот=0.57 | Радар=-0.80 | Нагорода=-0.0980
X=749.0, Y=5219.0 | Дії Мисливця: Рух=0.07, Поворот=-0.15 | Радар=-0.81 | Нагорода=-0.0981
X=747.4, Y=5219.0 | Дії Мисливця: Рух=-0.35, Поворот=0.62 | Радар=-0.81 | Нагорода=1.9632
X=747.1, Y=5219.0 | Дії Мисливця: Рух=0.14, Поворот=-0.58 | Радар=-0.84 | Нагорода=-0.0918
X=746.0, Y=5219.0 | Дії Мисливця: Рух=0.62, Поворот=0.30 | Радар=-0.80 | Нагорода=-0.0449
X=754.5, Y=5219.2 | Дії Мисливця: Рух=0.59, Поворот=-0.02 | Радар=-0.82 | Нагорода=-0.2439
X=772.5, Y=5220.0 | Дії Мисливця: Рух=-0.49, Поворот=-1.00 | Радар=-0.82 | Нагорода=-0.4418
X=779.3, Y=5220.4 | Дії Мисливця: Рух=-0.34, Поворот=-0.75 | Радар=-0.74 | Нагорода=-0.2429
X=772.7, Y=5221.4 | Дії Мисливця: Рух=-0.81, Поворот=-0.23 | Радар=-0.68 | Нагорода=0.0222
X=753.5, Y=5227.8 | Дії Мисливця: Рух=-0.75, Поворот=-0.40 | Радар=-0.65 | Нагорода=0.1977
X=734.8, Y=5235.9 | Дії Мисливця: Рух=-0.69, Поворот=-0.40 | Радар=-0.61 | Нагорода=0.1580
X=715.6, Y=5246.4 | Дії Мисливця: Рух=-0.35, Поворот=-0.57 | Радар=-0.56 | Нагорода=0.1257
X=704.9, Y=5254.0 | Дії Мисливця: Рух=0.05, Поворот=-0.31 | Радар=-0.50 | Нагорода=-0.0001
X=702.5, Y=5256.0 | Дії Мисливця: Рух=0.06, Поворот=-0.10 | Радар=-0.46 | Нагорода=-0.0489
X=703.3, Y=5254.8 | Дії Мисливця: Рух=0.54, Поворот=-0.34 | Радар=-0.45 | Нагорода=-0.0613
X=705.4, Y=5251.1 | Дії Мисливця: Рух=0.30, Поворот=-0.35 | Радар=-0.42 | Нагорода=-0.0487
X=710.0, Y=5242.0 | Дії Мисливця: Рух=0.53, Поворот=0.07 | Радар=-0.39 | Нагорода=-0.0142
X=715.1, Y=5228.5 | Дії Мисливця: Рух=-0.04, Поворот=-0.19 | Радар=-0.40 | Нагорода=0.0401
X=716.9, Y=5223.4 | Дії Мисливця: Рух=-0.10, Поворот=-0.11 | Радар=-0.38 | Нагорода=-0.0232
